A2_LTP,,,,,,,,,,,,,,,,
 Time, MeasResult1_value, MeasResult2_value,,,,,,,,,,,,,,
5.92805,4.63E-07,-0.00070633,,,,,,,,,,,,,,
5.92815,4.63E-07,-0.001002927,,,,,,,,,,,,,,
5.92825,4.62E-07,-0.000805126,,,,,,,,,,,,,,
5.92835,4.62E-07,-0.000989769,,,,,,,,,,,,,,
5.92845,4.62E-07,-0.00097858,,,,,,,,,,,,,,
5.92855,4.62E-07,-0.000989909,,,,,,,,,,,,,,
5.92865,4.62E-07,-0.000979636,,,,,,,,,,,,,,
5.92875,4.62E-07,-0.000784086,,,,,,,,,,,,,,
5.92885,4.62E-07,-0.000578614,,,,,,,,,,,,,,
5.92895,4.62E-07,-0.000630334,,,,,,,,,,,,,,
5.92905,4.62E-07,-0.000780638,,,,,,,,,,,,,,
5.92915,4.62E-07,-0.000986532,,,,,,,,,,,,,,
5.92925,4.62E-07,-0.001110518,,,,,,,,,,,,,,
5.92935,4.62E-07,-0.000954304,,,,,,,,,,,,,,
5.92945,4.62E-07,-0.001003772,,,,,,,,,,,,,,
5.92955,4.63E-07,-0.001023826,,,,,,,,,,,,,,
5.92965,4.62E-07,-0.000955078,,,,,,,,,,,,,,
5.92975,4.62E-07,-0.000815047,,,,,,,,,,,,,,
5.92985,4.62E-07,-0.00084439,,,,,,,,,,,,,,
5.92995,4.62E-07,-0.000723218,,,,,,,,,,,,,,
5.93005,4.62E-07,-0.000863249,,,,,,,,,,,,,,
5.93015,4.62E-07,-0.000905469,,,,,,,,,,,,,,
5.93025,4.63E-07,-0.000814484,,,,,,,,,,,,,,
5.93035,4.63E-07,-0.001013271,,,,,,,,,,,,,,
5.93045,4.62E-07,-0.0008655,,,,,,,,,,,,,,
5.93055,4.63E-07,-0.000937486,,,,,,,,,,,,,,
5.93065,4.62E-07,-0.000965211,,,,,,,,,,,,,,
5.93075,4.62E-07,-0.000752421,,,,,,,,,,,,,,
5.93085,4.62E-07,-0.000655033,,,,,,,,,,,,,,
5.93095,4.62E-07,-0.000801326,,,,,,,,,,,,,,
5.93105,4.62E-07,-0.000869793,,,,,,,,,,,,,,
5.93115,4.62E-07,-0.000906243,,,,,,,,,,,,,,
5.93125,4.63E-07,-0.001095601,,,,,,,,,,,,,,
5.93135,4.63E-07,-0.001148728,,,,,,,,,,,,,,
5.93145,4.62E-07,-0.000981184,,,,,,,,,,,,,,
5.93155,4.62E-07,-0.001022841,,,,,,,,,,,,,,
5.93165,4.62E-07,-0.001032552,,,,,,,,,,,,,,
5.93175,4.62E-07,-0.000990965,,,,,,,,,,,,,,
5.93185,4.62E-07,-0.000988643,,,,,,,,,,,,,,
5.93195,4.63E-07,-0.000978229,,,,,,,,,,,,,,
5.93205,4.62E-07,-0.001065765,,,,,,,,,,,,,,
5.93215,4.62E-07,-0.000674384,,,,,,,,,,,,,,
5.93225,4.63E-07,-0.00065454,,,,,,,,,,,,,,
5.93235,4.63E-07,-0.000778034,,,,,,,,,,,,,,
5.93245,4.62E-07,-0.000739332,,,,,,,,,,,,,,
5.93255,4.62E-07,-0.000731874,,,,,,,,,,,,,,
5.93265,4.62E-07,-0.000943045,,,,,,,,,,,,,,
5.93275,4.62E-07,-0.000858182,,,,,,,,,,,,,,
5.93285,4.62E-07,-0.000862686,,,,,,,,,,,,,,
5.93295,4.63E-07,-0.000947337,,,,,,,,,,,,,,
5.93305,4.62E-07,-0.001229579,,,,,,,,,,,,,,
5.93315,4.62E-07,-0.001079487,,,,,,,,,,,,,,
5.93325,4.63E-07,-0.001014679,,,,,,,,,,,,,,
5.93335,4.62E-07,-0.000601835,,,,,,,,,,,,,,
5.93345,4.62E-07,-0.000891818,,,,,,,,,,,,,,
5.93355,4.62E-07,-0.000827221,,,,,,,,,,,,,,
5.93365,4.62E-07,-0.000889285,,,,,,,,,,,,,,
5.93375,4.62E-07,-0.000771983,,,,,,,,,,,,,,
5.93385,4.62E-07,-0.000826517,,,,,,,,,,,,,,
5.93395,4.62E-07,-0.000702319,,,,,,,,,,,,,,
5.93405,4.62E-07,-0.000705697,,,,,,,,,,,,,,
5.93415,4.62E-07,-0.000713086,,,,,,,,,,,,,,
5.93425,4.63E-07,-0.000757557,,,,,,,,,,,,,,
5.93435,4.63E-07,-0.000843335,,,,,,,,,,,,,,
5.93445,4.62E-07,-0.000860997,,,,,,,,,,,,,,
5.93455,4.62E-07,-0.000865289,,,,,,,,,,,,,,
5.93465,4.62E-07,-0.000866556,,,,,,,,,,,,,,
5.93475,4.62E-07,-0.000824336,,,,,,,,,,,,,,
5.93485,4.62E-07,-0.00061049,,,,,,,,,,,,,,
5.93495,4.63E-07,-0.000908706,,,,,,,,,,,,,,
5.93505,4.63E-07,-0.000847275,,,,,,,,,,,,,,
5.93515,4.62E-07,-0.000862545,,,,,,,,,,,,,,
5.93525,4.62E-07,-0.000956415,,,,,,,,,,,,,,
5.93535,4.63E-07,-0.000766705,,,,,,,,,,,,,,
5.93545,4.62E-07,-0.000793796,,,,,,,,,,,,,,
5.93555,4.63E-07,-0.000856634,,,,,,,,,,,,,,
5.93565,4.62E-07,-0.000760091,,,,,,,,,,,,,,
5.93575,4.62E-07,-0.000950293,,,,,,,,,,,,,,
5.93585,4.63E-07,-0.000757557,,,,,,,,,,,,,,
5.93595,4.63E-07,-0.00086733,,,,,,,,,,,,,,
5.93605,4.63E-07,-0.000926227,,,,,,,,,,,,,,
5.93615,4.63E-07,-0.000751787,,,,,,,,,,,,,,
5.93625,4.63E-07,-0.00080027,,,,,,,,,,,,,,
5.93635,4.62E-07,-0.000757276,,,,,,,,,,,,,,
5.93645,4.62E-07,-0.000835594,,,,,,,,,,,,,,
5.93655,4.62E-07,-0.000697957,,,,,,,,,,,,,,
5.93665,4.62E-07,-0.00062766,,,,,,,,,,,,,,
5.93675,4.62E-07,-0.000531257,,,,,,,,,,,,,,
5.93685,4.62E-07,-0.000353369,,,,,,,,,,,,,,
5.93695,4.62E-07,-0.000639622,,,,,,,,,,,,,,
5.93705,4.62E-07,-0.000854453,,,,,,,,,,,,,,
5.93715,4.62E-07,-0.000513454,,,,,,,,,,,,,,
5.93725,4.62E-07,-0.000626956,,,,,,,,,,,,,,
5.93735,4.63E-07,-0.000785704,,,,,,,,,,,,,,
5.93745,4.63E-07,-0.000949308,,,,,,,,,,,,,,
5.93755,4.63E-07,-0.000822366,,,,,,,,,,,,,,
5.93765,4.62E-07,-0.000650459,,,,,,,,,,,,,,
5.93775,4.62E-07,-0.000755798,,,,,,,,,,,,,,
5.93785,4.62E-07,-0.000956696,,,,,,,,,,,,,,
5.93795,4.63E-07,-0.000694157,,,,,,,,,,,,,,
5.93805,4.62E-07,-0.000756009,,,,,,,,,,,,,,
5.93815,4.62E-07,-0.000788519,,,,,,,,,,,,,,
5.93825,4.63E-07,-0.000814484,,,,,,,,,,,,,,
5.93835,4.62E-07,-0.000702812,,,,,,,,,,,,,,
5.93845,4.62E-07,-0.000770083,,,,,,,,,,,,,,
5.93855,4.62E-07,-0.000458357,,,,,,,,,,,,,,
5.93865,4.62E-07,-0.000881826,,,,,,,,,,,,,,
5.93875,4.63E-07,-0.000858534,,,,,,,,,,,,,,
5.93885,4.62E-07,-0.000904062,,,,,,,,,,,,,,
5.93895,4.63E-07,-0.000860504,,,,,,,,,,,,,,
5.93905,4.62E-07,-0.000978721,,,,,,,,,,,,,,
5.93915,4.62E-07,-0.000767268,,,,,,,,,,,,,,
5.93925,4.62E-07,-0.000905891,,,,,,,,,,,,,,
5.93935,4.63E-07,-0.00095543,,,,,,,,,,,,,,
5.93945,4.62E-07,-0.000844461,,,,,,,,,,,,,,
5.93955,4.63E-07,-0.000964577,,,,,,,,,,,,,,
5.93965,4.62E-07,-0.000700701,,,,,,,,,,,,,,
5.93975,4.62E-07,-0.00074264,,,,,,,,,,,,,,
5.93985,4.63E-07,-0.000959792,,,,,,,,,,,,,,
5.93995,4.62E-07,-0.001012919,,,,,,,,,,,,,,
5.94005,4.62E-07,-0.000912858,,,,,,,,,,,,,,
5.94015,4.62E-07,-0.000931294,,,,,,,,,,,,,,
5.94025,4.62E-07,-0.000909269,,,,,,,,,,,,,,
5.94035,4.62E-07,-0.001010105,,,,,,,,,,,,,,
5.94045,4.62E-07,-0.000998494,,,,,,,,,,,,,,
5.94055,4.62E-07,-0.000869441,,,,,,,,,,,,,,
5.94065,4.62E-07,-0.000797315,,,,,,,,,,,,,,
5.94075,4.62E-07,-0.000813851,,,,,,,,,,,,,,
5.94085,4.62E-07,-0.000757698,,,,,,,,,,,,,,
5.94095,4.62E-07,-0.000927423,,,,,,,,,,,,,,
5.94105,4.63E-07,-0.000570944,,,,,,,,,,,,,,
5.94115,4.63E-07,-0.000703375,,,,,,,,,,,,,,
5.94125,4.63E-07,-0.001088986,,,,,,,,,,,,,,
5.94135,4.63E-07,-0.000785001,,,,,,,,,,,,,,
5.94145,4.62E-07,-0.000793445,,,,,,,,,,,,,,
