A2_LTD,,,,,,,,,,,,,,,,
 Time, MeasResult1_value, MeasResult2_value,,,,,,,,,,,,,,
5.93635,2.66E-06,-0.00214896,,,,,,,,,,,,,,
5.93645,2.66E-06,-0.002310874,,,,,,,,,,,,,,
5.93655,2.66E-06,-0.002287371,,,,,,,,,,,,,,
5.93665,2.66E-06,-0.002399888,,,,,,,,,,,,,,
5.93675,2.66E-06,-0.002621404,,,,,,,,,,,,,,
5.93685,2.66E-06,-0.002483695,,,,,,,,,,,,,,
5.93695,2.66E-06,-0.002272102,,,,,,,,,,,,,,
5.93705,2.66E-06,-0.002490029,,,,,,,,,,,,,,
5.93715,2.66E-06,-0.002522468,,,,,,,,,,,,,,
5.93725,2.66E-06,-0.002469552,,,,,,,,,,,,,,
5.93735,2.66E-06,-0.002518949,,,,,,,,,,,,,,
5.93745,2.66E-06,-0.002503468,,,,,,,,,,,,,,
5.93755,2.66E-06,-0.002478981,,,,,,,,,,,,,,
5.93765,2.66E-06,-0.002450904,,,,,,,,,,,,,,
5.93775,2.66E-06,-0.002383071,,,,,,,,,,,,,,
5.93785,2.66E-06,-0.002529082,,,,,,,,,,,,,,
5.93795,2.66E-06,-0.002441123,,,,,,,,,,,,,,
5.93805,2.66E-06,-0.002633366,,,,,,,,,,,,,,
5.93815,2.66E-06,-0.002651239,,,,,,,,,,,,,,
5.93825,2.66E-06,-0.002672772,,,,,,,,,,,,,,
5.93835,2.66E-06,-0.002701622,,,,,,,,,,,,,,
5.93845,2.66E-06,-0.002600364,,,,,,,,,,,,,,
5.93855,2.66E-06,-0.002587909,,,,,,,,,,,,,,
5.93865,2.66E-06,-0.002528097,,,,,,,,,,,,,,
5.93875,2.66E-06,-0.002313759,,,,,,,,,,,,,,
5.93885,2.66E-06,-0.002440701,,,,,,,,,,,,,,
5.93895,2.66E-06,-0.002663131,,,,,,,,,,,,,,
5.93905,2.66E-06,-0.002527253,,,,,,,,,,,,,,
5.93915,2.66E-06,-0.002625485,,,,,,,,,,,,,,
5.93925,2.66E-06,-0.002725265,,,,,,,,,,,,,,
5.93935,2.66E-06,-0.002827438,,,,,,,,,,,,,,
5.93945,2.66E-06,-0.002757705,,,,,,,,,,,,,,
5.93955,2.66E-06,-0.00269747,,,,,,,,,,,,,,
5.93965,2.66E-06,-0.002801965,,,,,,,,,,,,,,
5.93975,2.66E-06,-0.002785922,,,,,,,,,,,,,,
5.93985,2.66E-06,-0.00269163,,,,,,,,,,,,,,
5.93995,2.66E-06,-0.002749261,,,,,,,,,,,,,,
5.94005,2.66E-06,-0.002830112,,,,,,,,,,,,,,
5.94015,2.66E-06,-0.002871981,,,,,,,,,,,,,,
5.94025,2.66E-06,-0.002746516,,,,,,,,,,,,,,
5.94035,2.66E-06,-0.002647299,,,,,,,,,,,,,,
5.94045,2.66E-06,-0.002682482,,,,,,,,,,,,,,
5.94055,2.66E-06,-0.002675375,,,,,,,,,,,,,,
5.94065,2.66E-06,-0.002763897,,,,,,,,,,,,,,
5.94075,2.66E-06,-0.002684945,,,,,,,,,,,,,,
5.94085,2.66E-06,-0.002626752,,,,,,,,,,,,,,
5.94095,2.66E-06,-0.002733006,,,,,,,,,,,,,,
5.94105,2.66E-06,-0.002960502,,,,,,,,,,,,,,
5.94115,2.66E-06,-0.002795281,,,,,,,,,,,,,,
5.94125,2.66E-06,-0.002813224,,,,,,,,,,,,,,
5.94135,2.66E-06,-0.002827157,,,,,,,,,,,,,,
5.94145,2.66E-06,-0.00308463,,,,,,,,,,,,,,
