Device ID,,,,
Remarks,A3_LTD_1ms_1ms_228,,,
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
5.94375,6.71E-05,-0.001077797,5.94375,5.94375
5.94385,6.71E-05,-0.001025092,5.94385,5.94385
5.94395,6.71E-05,-0.001310855,5.94395,5.94395
5.94405,6.71E-05,-0.001226625,5.94405,5.94405
5.94415,6.71E-05,-0.001502677,5.94415,5.94415
5.94425,6.71E-05,-0.001470308,5.94425,5.94425
5.94435,6.71E-05,-0.001370527,5.94435,5.94435
5.94445,6.71E-05,-0.001236476,5.94445,5.94445
5.94455,6.71E-05,-0.001165898,5.94455,5.94455
5.94465,6.71E-05,-0.001144999,5.94465,5.94465
5.94475,6.71E-05,-0.001246891,5.94475,5.94475
5.94485,6.71E-05,-0.001401207,5.94485,5.94485
5.94495,6.71E-05,-0.001152528,5.94495,5.94495
5.94505,6.71E-05,-0.001413944,5.94505,5.94505
5.94515,6.71E-05,-0.001332388,5.94515,5.94515
5.94525,6.71E-05,-0.001263146,5.94525,5.94525
5.94535,6.71E-05,-0.001269197,5.94535,5.94535
5.94545,6.71E-05,-0.001199252,5.94545,5.94545
5.94555,6.71E-05,-0.001347868,5.94555,5.94555
5.94565,6.71E-05,-0.00127152,5.94565,5.94565
5.94575,6.70E-05,-0.001111855,5.94575,5.94575
5.94585,6.70E-05,-0.001422458,5.94585,5.94585
5.94595,6.70E-05,-0.001118963,5.94595,5.94595
5.94605,6.71E-05,-0.001191652,5.94605,5.94605
5.94615,6.70E-05,-0.00127919,5.94615,5.94615
5.94625,6.71E-05,-0.00130994,5.94625,5.94625
5.94635,6.71E-05,-0.00151471,5.94635,5.94635
5.94645,6.71E-05,-0.001496274,5.94645,5.94645
5.94655,6.71E-05,-0.001386219,5.94655,5.94655
5.94665,6.71E-05,-0.00135399,5.94665,5.94665
5.94675,6.71E-05,-0.001585078,5.94675,5.94675
5.94685,6.71E-05,-0.001439698,5.94685,5.94685
5.94695,6.71E-05,-0.001489237,5.94695,5.94695
